claim,evidence,label,string_evidence
United Nations was relocated to the United States in 1945.,"['The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions . territories Territories of the United States constitutional constitutional federal republic federal republic states U.S. state federal district Washington, D.C.', 'The state of Hawaii is an archipelago in the mid-Pacific Ocean .', 'The United States embarked on a vigorous expansion across North America throughout the 19th century , displacing Native American tribes , acquiring new territories , and gradually admitting new states until it spanned the continent by 1848 . North North America territories Territories of the United States Native Native Americans in the United States American Americans states U.S. state North America North America displacing Native American tribes American Indian Wars acquiring new territories United States territorial acquisitions admitting new states List of U.S.', ""The United States is a highly developed country , with the world 's largest economy by nominal GDP and second-largest economy by PPP ."", 'The state of Alaska is in the northwest corner of North America , bordered by Canada to the east and across the Bering Strait from Russia to the west .']",NOT ENOUGH INFO,"The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions . territories Territories of the United States constitutional constitutional federal republic federal republic states U.S. state federal district Washington, D.C.|The state of Hawaii is an archipelago in the mid-Pacific Ocean .|The United States embarked on a vigorous expansion across North America throughout the 19th century , displacing Native American tribes , acquiring new territories , and gradually admitting new states until it spanned the continent by 1848 . North North America territories Territories of the United States Native Native Americans in the United States American Americans states U.S. state North America North America displacing Native American tribes American Indian Wars acquiring new territories United States territorial acquisitions admitting new states List of U.S.|The United States is a highly developed country , with the world 's largest economy by nominal GDP and second-largest economy by PPP .|The state of Alaska is in the northwest corner of North America , bordered by Canada to the east and across the Bering Strait from Russia to the west ."
Whoopi Goldberg co-produced an American dance tournament.,"['In the romantic fantasy film Ghost -LRB- 1990 -RRB- , Goldberg played Oda Mae Brown , an eccentric psychic who helped a slain man -LRB- Patrick Swayze -RRB- save his lover -LRB- Demi Moore -RRB- , for which she won the Academy Award for Best Supporting Actress .', 'Caryn Elaine Johnson -LRB- born November 13 , 1955 -RRB- , known professionally as Whoopi Goldberg -LRB- -LSB- ˈwhʊpi -RSB- -RRB- , is an American actress , comedian , author and television host .', 'Since 2007 , she has been the moderator of the daytime television talk show The View . television television The View The View (U.S.', 'African-American dance has developed within Black American communities in everyday spaces , rather than in studios , schools or companies .', 'She has been nominated for 13 Emmy Awards for her work in television and is one of the few entertainers who have won an Emmy Award , a Grammy Award , an Oscar , and a Tony Award .']",NOT ENOUGH INFO,"In the romantic fantasy film Ghost -LRB- 1990 -RRB- , Goldberg played Oda Mae Brown , an eccentric psychic who helped a slain man -LRB- Patrick Swayze -RRB- save his lover -LRB- Demi Moore -RRB- , for which she won the Academy Award for Best Supporting Actress .|Caryn Elaine Johnson -LRB- born November 13 , 1955 -RRB- , known professionally as Whoopi Goldberg -LRB- -LSB- ˈwhʊpi -RSB- -RRB- , is an American actress , comedian , author and television host .|Since 2007 , she has been the moderator of the daytime television talk show The View . television television The View The View (U.S.|African-American dance has developed within Black American communities in everyday spaces , rather than in studios , schools or companies .|She has been nominated for 13 Emmy Awards for her work in television and is one of the few entertainers who have won an Emmy Award , a Grammy Award , an Oscar , and a Tony Award ."
Slovenia uses the euro.,"['Slovenia -LRB- -LSB- sloʊˈviːniə , _ slə - , _ - njə -RSB- ; Slovenija -LSB- slɔˈʋéːnija -RSB- -RRB- , officially the Republic of Slovenia -LRB- Slovene : , abbr. : RS -RRB- , is a nation state in southern Central Europe , located at the crossroads of main European cultural and trade routes .', 'The euro -LRB- sign : $ ; code : EUR -RRB- is the official currency of the eurozone , which consists of 19 of the member states of the European Union : Austria , Belgium , Cyprus , Estonia , Finland , France , Germany , Greece , Ireland , Italy , Latvia , Lithuania , Luxembourg , Malta , the Netherlands , Portugal , Slovakia , Slovenia , and Spain .', 'The euro is the second largest reserve currency as well as the second most traded currency in the world after the United States dollar .', 'The euro was introduced to world financial markets as an accounting currency on 1 January 1999 , replacing the former European Currency Unit -LRB- ECU -RRB- at a ratio of 1:1 -LRB- US$ 1.1743 -RRB- .', 'In 2004 , it entered NATO and the European Union ; in 2007 became the first formerly communist country to join the Eurozone ; and in 2010 joined the OECD , a global association of high-income developed countries .']",SUPPORTS,"Slovenia -LRB- -LSB- sloʊˈviːniə , _ slə - , _ - njə -RSB- ; Slovenija -LSB- slɔˈʋéːnija -RSB- -RRB- , officially the Republic of Slovenia -LRB- Slovene : , abbr. : RS -RRB- , is a nation state in southern Central Europe , located at the crossroads of main European cultural and trade routes .|The euro -LRB- sign : $ ; code : EUR -RRB- is the official currency of the eurozone , which consists of 19 of the member states of the European Union : Austria , Belgium , Cyprus , Estonia , Finland , France , Germany , Greece , Ireland , Italy , Latvia , Lithuania , Luxembourg , Malta , the Netherlands , Portugal , Slovakia , Slovenia , and Spain .|The euro is the second largest reserve currency as well as the second most traded currency in the world after the United States dollar .|The euro was introduced to world financial markets as an accounting currency on 1 January 1999 , replacing the former European Currency Unit -LRB- ECU -RRB- at a ratio of 1:1 -LRB- US$ 1.1743 -RRB- .|In 2004 , it entered NATO and the European Union ; in 2007 became the first formerly communist country to join the Eurozone ; and in 2010 joined the OECD , a global association of high-income developed countries ."
Iowa is a part of the Midwestern United States.,"['Its capital and largest city by population is Des Moines . Des Moines Des Moines, Iowa capital List of capitals in the United States largest city by population List of U.S.', 'Iowa is the 26th most extensive in land area and the 30th most populous of the 50 United States . United States United States 26th most extensive List of U.S. states and territories by area 30th most populous List of U.S.', 'Chicago and its suburbs form the largest metropolitan statistical area with 9.8 million people , followed by Metro Detroit , Minneapolis -- St. Paul , Greater St. Louis , Greater Cleveland , Greater Cincinnati -LRB- without the Kentucky portion -RRB- , Kansas City metro area , and the Columbus metro area . Kansas Kansas Chicago Chicago Columbus Columbus, Ohio Detroit Detroit Kansas City Kansas City, Missouri Minneapolis Minneapolis Cleveland Cleveland St. Louis St. Louis, Missouri Chicago and its suburbs Chicago metropolitan area metropolitan statistical area metropolitan statistical area Metro Detroit Metro Detroit Greater St. Louis Greater St.', 'Chicago and its suburbs form the largest metropolitan statistical area with 9.8 million people , followed by Metro Detroit , Minneapolis -- St. Paul , Greater St. Louis , Greater Cleveland , Greater Cincinnati -LRB- without the Kentucky portion -RRB- , Kansas City metro area , and the Columbus metro area . Kansas Kansas Chicago Chicago Columbus Columbus, Ohio Detroit Detroit Kansas City Kansas City, Missouri Minneapolis Minneapolis Cleveland Cleveland St. Louis St. Louis, Missouri Chicago and its suburbs Chicago metropolitan area metropolitan statistical area metropolitan statistical area Metro Detroit Metro Detroit Greater St. Louis Greater St.', 'Surrounding states include Wisconsin and Illinois to the east , Missouri to the south , Nebraska and South Dakota to the west , and Minnesota to the north .']",SUPPORTS,"Its capital and largest city by population is Des Moines . Des Moines Des Moines, Iowa capital List of capitals in the United States largest city by population List of U.S.|Iowa is the 26th most extensive in land area and the 30th most populous of the 50 United States . United States United States 26th most extensive List of U.S. states and territories by area 30th most populous List of U.S.|Chicago and its suburbs form the largest metropolitan statistical area with 9.8 million people , followed by Metro Detroit , Minneapolis -- St. Paul , Greater St. Louis , Greater Cleveland , Greater Cincinnati -LRB- without the Kentucky portion -RRB- , Kansas City metro area , and the Columbus metro area . Kansas Kansas Chicago Chicago Columbus Columbus, Ohio Detroit Detroit Kansas City Kansas City, Missouri Minneapolis Minneapolis Cleveland Cleveland St. Louis St. Louis, Missouri Chicago and its suburbs Chicago metropolitan area metropolitan statistical area metropolitan statistical area Metro Detroit Metro Detroit Greater St. Louis Greater St.|Chicago and its suburbs form the largest metropolitan statistical area with 9.8 million people , followed by Metro Detroit , Minneapolis -- St. Paul , Greater St. Louis , Greater Cleveland , Greater Cincinnati -LRB- without the Kentucky portion -RRB- , Kansas City metro area , and the Columbus metro area . Kansas Kansas Chicago Chicago Columbus Columbus, Ohio Detroit Detroit Kansas City Kansas City, Missouri Minneapolis Minneapolis Cleveland Cleveland St. Louis St. Louis, Missouri Chicago and its suburbs Chicago metropolitan area metropolitan statistical area metropolitan statistical area Metro Detroit Metro Detroit Greater St. Louis Greater St.|Surrounding states include Wisconsin and Illinois to the east , Missouri to the south , Nebraska and South Dakota to the west , and Minnesota to the north ."
Keith Urban is a person who sings.,"['Urban has released a total of nine studio albums -LRB- one of which was released only in the United Kingdom -RRB- , as well as one album with The Ranch .', 'Urban is also known for his roles as a coach on the Australian version of the singing competition The Voice and as a judge on American Idol .', 'Still signed to Capitol , Urban made his solo American debut in 1999 with a second eponymous album .', 'Keith Lionel Urban -LRB- born 26 October 1967 -RRB- is a New Zealand-born Australian country musician .', 'Since 2006 , he has been married to actress Nicole Kidman .']",NOT ENOUGH INFO,"Urban has released a total of nine studio albums -LRB- one of which was released only in the United Kingdom -RRB- , as well as one album with The Ranch .|Urban is also known for his roles as a coach on the Australian version of the singing competition The Voice and as a judge on American Idol .|Still signed to Capitol , Urban made his solo American debut in 1999 with a second eponymous album .|Keith Lionel Urban -LRB- born 26 October 1967 -RRB- is a New Zealand-born Australian country musician .|Since 2006 , he has been married to actress Nicole Kidman ."
Hotell is owned by Lisa Langseth.,"['Hotell is a 2013 Swedish drama film written and directed by Lisa Langseth .', 'Lisa Langseth -LRB- born April 20 , 1975 -RRB- is a Swedish screenwriter and film director .', 'The film received four nominations at the 49th Guldbagge Awards : Best Script , Lisa Langseth , Best Supporting Actress , Anna Bjelkerud and Mira Eklund and Best Supporting Actor , David Dencik .', '', '']",NOT ENOUGH INFO,"Hotell is a 2013 Swedish drama film written and directed by Lisa Langseth .|Lisa Langseth -LRB- born April 20 , 1975 -RRB- is a Swedish screenwriter and film director .|The film received four nominations at the 49th Guldbagge Awards : Best Script , Lisa Langseth , Best Supporting Actress , Anna Bjelkerud and Mira Eklund and Best Supporting Actor , David Dencik .||"
Saratoga is an American film from 1937.,"['', '', '', 'Saratoga may refer to :', 'The year 1937 in film involved some significant events , including the Walt Disney production of the first American full-length animated film , Snow White and the Seven Dwarfs .']",SUPPORTS,"|||Saratoga may refer to :|The year 1937 in film involved some significant events , including the Walt Disney production of the first American full-length animated film , Snow White and the Seven Dwarfs ."
J. Howard Marshall was a baby.,"['Marshall was married to Anna Nicole Smith during the last 14 months of his life .', 'James Howard Marshall II -LRB- January 24 , 1905 -- August 4 , 1995 -RRB- was an American businessman , academic , attorney , and government official .', ""`` Baby-Baby-Baby '' is a song by the group TLC ."", 'His estate became the subject of protracted litigation which was reviewed by the Supreme Court in Marshall v. Marshall and Stern v. Marshall . Marshall v. Marshall Marshall v. Marshall Stern v. Marshall Stern v.', '']",SUPPORTS,"Marshall was married to Anna Nicole Smith during the last 14 months of his life .|James Howard Marshall II -LRB- January 24 , 1905 -- August 4 , 1995 -RRB- was an American businessman , academic , attorney , and government official .|`` Baby-Baby-Baby '' is a song by the group TLC .|His estate became the subject of protracted litigation which was reviewed by the Supreme Court in Marshall v. Marshall and Stern v. Marshall . Marshall v. Marshall Marshall v. Marshall Stern v. Marshall Stern v.|"
Grace Jones is a dancer.,"['Grace Jones -LRB- born 19 May 1948 -RRB- is a Jamaican born singer , songwriter , lyricist , supermodel , record producer , and actress .', ""In 1999 , Jones ranked 82nd on VH1 's 100 Greatest Women of Rock and Roll , and in 2008 , she was honored with a Q Idol Award ."", 'Jones appeared in some low-budget films in the US during the 1970s and early 1980s .', 'In December 2016 , Billboard magazine ranked her as the 40th most successful dance artist of all time .', 'Jones began her modelling career in New York state , then in Paris , working for fashion houses such as Yves St. Laurent and Kenzo , and appearing on the covers of Elle and Vogue . modelling Model (person) Paris Paris Yves St.']",REFUTES,"Grace Jones -LRB- born 19 May 1948 -RRB- is a Jamaican born singer , songwriter , lyricist , supermodel , record producer , and actress .|In 1999 , Jones ranked 82nd on VH1 's 100 Greatest Women of Rock and Roll , and in 2008 , she was honored with a Q Idol Award .|Jones appeared in some low-budget films in the US during the 1970s and early 1980s .|In December 2016 , Billboard magazine ranked her as the 40th most successful dance artist of all time .|Jones began her modelling career in New York state , then in Paris , working for fashion houses such as Yves St. Laurent and Kenzo , and appearing on the covers of Elle and Vogue . modelling Model (person) Paris Paris Yves St."
Lisbon has a population larger than 1.,"['Lisbon -LRB- -LSB- ˈlɪzbən -RSB- Lisboa , -LSB- liʒˈβoɐ -RSB- -RRB- is the capital and the largest city of Portugal , with a population of 552,700 within its administrative limits in an area of 100.05 km ² .', ""About 2.8 million people live in the Lisbon Metropolitan Area -LRB- which represents approximately 27 % of the country 's population -RRB- ."", ""Unlike most capital cities , Lisbon 's status as the capital of Portugal has never been granted or confirmed officially -- by statute or in written form ."", 'Lisbon is recognised as a global city because of its importance in finance , commerce , media , entertainment , arts , international trade , education and tourism .', 'The Lisbon region contributes with a higher GDP PPP per capita than any other region in Portugal .']",SUPPORTS,"Lisbon -LRB- -LSB- ˈlɪzbən -RSB- Lisboa , -LSB- liʒˈβoɐ -RSB- -RRB- is the capital and the largest city of Portugal , with a population of 552,700 within its administrative limits in an area of 100.05 km ² .|About 2.8 million people live in the Lisbon Metropolitan Area -LRB- which represents approximately 27 % of the country 's population -RRB- .|Unlike most capital cities , Lisbon 's status as the capital of Portugal has never been granted or confirmed officially -- by statute or in written form .|Lisbon is recognised as a global city because of its importance in finance , commerce , media , entertainment , arts , international trade , education and tourism .|The Lisbon region contributes with a higher GDP PPP per capita than any other region in Portugal ."
Willie Nelson dropped out of college after three years.,"['Nelson made his first movie appearance in the 1979 film The Electric Horseman , followed by other appearances in movies and on television .', 'Born during the Great Depression , and raised by his grandparents , Nelson wrote his first song at age seven and joined his first band at ten .', 'After his return , Nelson attended Baylor University for two years but dropped out because he was succeeding in music .', 'In 1973 , after signing with Atlantic Records , Nelson turned to outlaw country , including albums such as Shotgun Willie and Phases and Stages .', 'After graduating from high school in 1950 , he joined the Air Force but was later discharged due to back problems .']",REFUTES,"Nelson made his first movie appearance in the 1979 film The Electric Horseman , followed by other appearances in movies and on television .|Born during the Great Depression , and raised by his grandparents , Nelson wrote his first song at age seven and joined his first band at ten .|After his return , Nelson attended Baylor University for two years but dropped out because he was succeeding in music .|In 1973 , after signing with Atlantic Records , Nelson turned to outlaw country , including albums such as Shotgun Willie and Phases and Stages .|After graduating from high school in 1950 , he joined the Air Force but was later discharged due to back problems ."
Malcolm Young was the co-founder of Australian hard rock band AC/DC.,"['Young took a leave of absence from AC/DC in April 2014 , to receive treatment for dementia .', 'Though his younger brother Angus is the more visible of the brothers , Malcolm has been described as the driving force and the leader of the band .', 'Malcolm Mitchell Young -LRB- born 6 January 1953 -RRB- is an Australian retired musician and songwriter , best known as a co-founder , rhythm guitarist , backing vocalist and songwriter for the hard rock band AC/DC .', 'Except for a brief absence in 1988 , he was with the band from its November 1973 beginning until retiring permanently in 2014 , due to health reasons .', 'He is married to Linda Young and has two children , Cara and Ross .']",SUPPORTS,"Young took a leave of absence from AC/DC in April 2014 , to receive treatment for dementia .|Though his younger brother Angus is the more visible of the brothers , Malcolm has been described as the driving force and the leader of the band .|Malcolm Mitchell Young -LRB- born 6 January 1953 -RRB- is an Australian retired musician and songwriter , best known as a co-founder , rhythm guitarist , backing vocalist and songwriter for the hard rock band AC/DC .|Except for a brief absence in 1988 , he was with the band from its November 1973 beginning until retiring permanently in 2014 , due to health reasons .|He is married to Linda Young and has two children , Cara and Ross ."
Nice & Slow is a jazz single.,"[""`` Nice & Slow '' is a 1998 single from Usher 's second album My Way ."", 'Jazz has roots in West African cultural and musical expression , and in African-American music traditions including blues and ragtime , as well as European military band music .', 'Jazz is a music genre that originated in African American communities of New Orleans , United States , in the late 19th and early 20th centuries , and developed from roots in blues and ragtime .', 'Modal jazz developed in the late 1950s , using the mode , or musical scale , as the basis of musical structure and improvisation .', 'New Orleans jazz began in the early 1910s , combining earlier brass-band marches , French quadrilles , biguine , ragtime and blues with collective polyphonic improvisation .']",NOT ENOUGH INFO,"`` Nice & Slow '' is a 1998 single from Usher 's second album My Way .|Jazz has roots in West African cultural and musical expression , and in African-American music traditions including blues and ragtime , as well as European military band music .|Jazz is a music genre that originated in African American communities of New Orleans , United States , in the late 19th and early 20th centuries , and developed from roots in blues and ragtime .|Modal jazz developed in the late 1950s , using the mode , or musical scale , as the basis of musical structure and improvisation .|New Orleans jazz began in the early 1910s , combining earlier brass-band marches , French quadrilles , biguine , ragtime and blues with collective polyphonic improvisation ."
Newfoundland and Labrador is the most linguistically homogeneous of Canada.,"['Newfoundland and Labrador -LRB- -LSB- uːfənˈlænd_ən_ˈlæbrədɔːr -RSB- , Terre-Neuve-et-Labrador Akamassiss Newfoundland Irish : Talamh an Éisc agus Labradar -RRB- is the most easterly province of Canada .', ""The province is Canada 's most linguistically homogeneous , with 97.6 % of residents reporting English -LRB- Newfoundland English -RRB- as their mother tongue in the 2006 census ."", ""Newfoundland and Labrador 's capital and largest city , St. John 's , is Canada 's 20th-largest census metropolitan area and is home to almost 40 percent of the province 's population ."", 'Canada is a Commonwealth realm member of the Commonwealth of Nations , a member of the Francophonie , and part of several major international and intergovernmental institutions or groupings including the United Nations , the North Atlantic Treaty Organization , the G8 , the Group of Ten , the G20 , the North American Free Trade Agreement and the Asia-Pacific Economic Cooperation forum .', ""Situated in the country 's Atlantic region , it comprises the island of Newfoundland and mainland Labrador to the northwest , with a combined area of 405212 km2 .""]",SUPPORTS,"Newfoundland and Labrador -LRB- -LSB- uːfənˈlænd_ən_ˈlæbrədɔːr -RSB- , Terre-Neuve-et-Labrador Akamassiss Newfoundland Irish : Talamh an Éisc agus Labradar -RRB- is the most easterly province of Canada .|The province is Canada 's most linguistically homogeneous , with 97.6 % of residents reporting English -LRB- Newfoundland English -RRB- as their mother tongue in the 2006 census .|Newfoundland and Labrador 's capital and largest city , St. John 's , is Canada 's 20th-largest census metropolitan area and is home to almost 40 percent of the province 's population .|Canada is a Commonwealth realm member of the Commonwealth of Nations , a member of the Francophonie , and part of several major international and intergovernmental institutions or groupings including the United Nations , the North Atlantic Treaty Organization , the G8 , the Group of Ten , the G20 , the North American Free Trade Agreement and the Asia-Pacific Economic Cooperation forum .|Situated in the country 's Atlantic region , it comprises the island of Newfoundland and mainland Labrador to the northwest , with a combined area of 405212 km2 ."
Furia is adapted from a short story by Anna Politkovskaya.,"['Furia -LRB- film -RRB- , a 1999 French romantic drama film', 'Anna Stepanovna Politkovskaya -LRB- -LSB- А́нна Степа́новна Политко́вская , p = ˈanːə sʲtʲɪˈpanəvnə pəlʲɪtˈkofskəjə -RSB- Га́нна Степа́нівна Політко́вська -LSB- ˈɦɑnːɐ steˈpɑnʲiu̯nɐ pɔlʲitˈkɔu̯sʲkɐ -RSB- née Mazepa -LSB- mɐˈzɛpɐ -RSB- 30 August 1958 -- 7 October 2006 -RRB- was a Russian journalist , writer , and human rights activist who became known in her forties for her opposition to the policies of Russian President Vladimir Putin and , in particular , his waging of the Second Chechen War -LRB- 1999-2005 -RRB- .', 'Anna Stepanovna Politkovskaya -LRB- -LSB- А́нна Степа́новна Политко́вская , p = ˈanːə sʲtʲɪˈpanəvnə pəlʲɪtˈkofskəjə -RSB- Га́нна Степа́нівна Політко́вська -LSB- ˈɦɑnːɐ steˈpɑnʲiu̯nɐ pɔlʲitˈkɔu̯sʲkɐ -RSB- née Mazepa -LSB- mɐˈzɛpɐ -RSB- 30 August 1958 -- 7 October 2006 -RRB- was a Russian journalist , writer , and human rights activist who became known in her forties for her opposition to the policies of Russian President Vladimir Putin and , in particular , his waging of the Second Chechen War -LRB- 1999-2005 -RRB- .', 'Fury -LRB- 1947 film -RRB- , an Italian film with the original title Furia', 'The Rage -LRB- 2002 film -RRB- , a Romanian film with the original title Furia']",REFUTES,"Furia -LRB- film -RRB- , a 1999 French romantic drama film|Anna Stepanovna Politkovskaya -LRB- -LSB- А́нна Степа́новна Политко́вская , p = ˈanːə sʲtʲɪˈpanəvnə pəlʲɪtˈkofskəjə -RSB- Га́нна Степа́нівна Політко́вська -LSB- ˈɦɑnːɐ steˈpɑnʲiu̯nɐ pɔlʲitˈkɔu̯sʲkɐ -RSB- née Mazepa -LSB- mɐˈzɛpɐ -RSB- 30 August 1958 -- 7 October 2006 -RRB- was a Russian journalist , writer , and human rights activist who became known in her forties for her opposition to the policies of Russian President Vladimir Putin and , in particular , his waging of the Second Chechen War -LRB- 1999-2005 -RRB- .|Anna Stepanovna Politkovskaya -LRB- -LSB- А́нна Степа́новна Политко́вская , p = ˈanːə sʲtʲɪˈpanəvnə pəlʲɪtˈkofskəjə -RSB- Га́нна Степа́нівна Політко́вська -LSB- ˈɦɑnːɐ steˈpɑnʲiu̯nɐ pɔlʲitˈkɔu̯sʲkɐ -RSB- née Mazepa -LSB- mɐˈzɛpɐ -RSB- 30 August 1958 -- 7 October 2006 -RRB- was a Russian journalist , writer , and human rights activist who became known in her forties for her opposition to the policies of Russian President Vladimir Putin and , in particular , his waging of the Second Chechen War -LRB- 1999-2005 -RRB- .|Fury -LRB- 1947 film -RRB- , an Italian film with the original title Furia|The Rage -LRB- 2002 film -RRB- , a Romanian film with the original title Furia"
One state of the United States has Russia to its west.,"['The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions . territories Territories of the United States constitutional constitutional federal republic federal republic states U.S. state federal district Washington, D.C.', 'The state of Hawaii is an archipelago in the mid-Pacific Ocean .', 'The state of Alaska is in the northwest corner of North America , bordered by Canada to the east and across the Bering Strait from Russia to the west .', 'The United States embarked on a vigorous expansion across North America throughout the 19th century , displacing Native American tribes , acquiring new territories , and gradually admitting new states until it spanned the continent by 1848 . North North America territories Territories of the United States Native Native Americans in the United States American Americans states U.S. state North America North America displacing Native American tribes American Indian Wars acquiring new territories United States territorial acquisitions admitting new states List of U.S.', 'Russia -LRB- -LSB- ˈrʌʃə -RSB- -LSB- Россия , Rossiya , rɐˈsʲijə -RSB- -RRB- , also officially the Russian Federation -LRB- -LSB- Российская Федерация , r = Rossiyskaya Federatsiya , p = rɐˈsʲijskəjə fʲɪdʲɪˈratsɨjə -RSB- -RRB- , is a country in Eurasia .']",SUPPORTS,"The United States of America -LRB- USA -RRB- , commonly known as the United States -LRB- U.S. -RRB- or America , is a constitutional federal republic composed of 50 states , a federal district , five major self-governing territories , and various possessions . territories Territories of the United States constitutional constitutional federal republic federal republic states U.S. state federal district Washington, D.C.|The state of Hawaii is an archipelago in the mid-Pacific Ocean .|The state of Alaska is in the northwest corner of North America , bordered by Canada to the east and across the Bering Strait from Russia to the west .|The United States embarked on a vigorous expansion across North America throughout the 19th century , displacing Native American tribes , acquiring new territories , and gradually admitting new states until it spanned the continent by 1848 . North North America territories Territories of the United States Native Native Americans in the United States American Americans states U.S. state North America North America displacing Native American tribes American Indian Wars acquiring new territories United States territorial acquisitions admitting new states List of U.S.|Russia -LRB- -LSB- ˈrʌʃə -RSB- -LSB- Россия , Rossiya , rɐˈsʲijə -RSB- -RRB- , also officially the Russian Federation -LRB- -LSB- Российская Федерация , r = Rossiyskaya Federatsiya , p = rɐˈsʲijskəjə fʲɪdʲɪˈratsɨjə -RSB- -RRB- , is a country in Eurasia ."
Sophie Turner was born in the 1990s.,"['Turner has also starred in the television film The Thirteenth Tale -LRB- 2013 -RRB- and she made her feature film debut in Another Me -LRB- 2013 -RRB- .', 'For her performance , she has received four nominations for Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series , as well as a Young Artist Award nomination for Best Supporting Young Actress in a TV Series .', 'Turner made her professional acting debut as Sansa Stark on the HBO fantasy television series Game of Thrones -LRB- 2011 -- present -RRB- , which brought her international recognition and critical praise .', 'Sophie Turner -LRB- born 21 February 1996 -RRB- is an English actress .', 'She has also starred in the action comedy Barely Lethal -LRB- 2015 -RRB- and played Jean Grey / Phoenix in the X-Men film series .']",SUPPORTS,"Turner has also starred in the television film The Thirteenth Tale -LRB- 2013 -RRB- and she made her feature film debut in Another Me -LRB- 2013 -RRB- .|For her performance , she has received four nominations for Screen Actors Guild Award for Outstanding Performance by an Ensemble in a Drama Series , as well as a Young Artist Award nomination for Best Supporting Young Actress in a TV Series .|Turner made her professional acting debut as Sansa Stark on the HBO fantasy television series Game of Thrones -LRB- 2011 -- present -RRB- , which brought her international recognition and critical praise .|Sophie Turner -LRB- born 21 February 1996 -RRB- is an English actress .|She has also starred in the action comedy Barely Lethal -LRB- 2015 -RRB- and played Jean Grey / Phoenix in the X-Men film series ."
Mother Teresa was made a saint by the church.,"['Mother Teresa , known in the Catholic Church as Saint Teresa of Calcutta -LRB- born Anjezë Gonxhe Bojaxhiu ; -LSB- aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu -RSB- ; 26 August 1910 -- 5 September 1997 -RRB- , was an Albanian-Indian Roman Catholic nun and missionary .', 'The Catholic Church has defined four Marian dogmas : the Immaculate Conception , the dogma that Mary was conceived without original sin ; her status as the Mother of God ; her perpetual virginity ; and her bodily assumption into Heaven at the end of her earthly life .', 'A saint , also historically known as a hallow , is a term used for a person who is recognized as having an exceptional degree of holiness or likeness to God .', ""The Catholic Church teaches that it is the one true church founded by Jesus Christ , that its bishops are the successors of Christ 's apostles , and that the Pope is the successor to Saint Peter ."", 'She was canonised -LRB- recognised by the church as a saint -RRB- on 4 September 2016 , and the anniversary of her death -LRB- 5 September -RRB- is her feast day .']",SUPPORTS,"Mother Teresa , known in the Catholic Church as Saint Teresa of Calcutta -LRB- born Anjezë Gonxhe Bojaxhiu ; -LSB- aˈɲɛzə ˈɡɔndʒɛ bɔjaˈdʒiu -RSB- ; 26 August 1910 -- 5 September 1997 -RRB- , was an Albanian-Indian Roman Catholic nun and missionary .|The Catholic Church has defined four Marian dogmas : the Immaculate Conception , the dogma that Mary was conceived without original sin ; her status as the Mother of God ; her perpetual virginity ; and her bodily assumption into Heaven at the end of her earthly life .|A saint , also historically known as a hallow , is a term used for a person who is recognized as having an exceptional degree of holiness or likeness to God .|The Catholic Church teaches that it is the one true church founded by Jesus Christ , that its bishops are the successors of Christ 's apostles , and that the Pope is the successor to Saint Peter .|She was canonised -LRB- recognised by the church as a saint -RRB- on 4 September 2016 , and the anniversary of her death -LRB- 5 September -RRB- is her feast day ."
